id,title,slug,category,ot_nt,bible_reference,story_summary,tags
15,Abraham Looking at the Stars,abraham-looking-at-the-stars,Creation & Genesis,OT,Genesis 15:5,Abraham stands under a sky full of stars as he remembers God’s promise to give him many descendants.,Abraham;stars;night sky;promise;Genesis;Genesis 15:5;Old Testament;Bible character;symbolic scene;kids coloring;outline
16,Abraham and Isaac Walking up the Hill,abraham-and-isaac-walking-up-the-hill,Creation & Genesis,OT,Genesis 22:6,"Abraham and Isaac walk together up a hill, carrying wood for a sacrifice, in a gentle kid-friendly style.",Abraham;Isaac;father and son;hill;wood bundle;Genesis;Genesis 22:6;Old Testament;Bible story;kids coloring;simple outlines
17,Abraham Meeting the Three Visitors,abraham-meeting-the-three-visitors,Creation & Genesis,OT,Genesis 18:1-15,"Abraham greets three visitors near his tent, showing kindness and hospitality.",Abraham;visitors;angels;tents;hospitality;Genesis;Genesis 18:1-15;Old Testament;Bible story;kids coloring;simple scene
18,The Well of Hagar and Ishmael,the-well-of-hagar-and-ishmael,Creation & Genesis,OT,Genesis 21:19,"Hagar and Ishmael sit near a well in the desert, thankful for the water God provided.",Hagar;Ishmael;well;water;desert;Genesis;Genesis 21:19;Old Testament;mother and child;Bible story;kids coloring;outline
19,Jacob’s Ladder Dream,jacob-s-ladder-dream,Creation & Genesis,OT,Genesis 28:12,Jacob dreams of a ladder reaching up to heaven with angels going up and down.,Jacob;ladder;angels;dream;heaven;Genesis;Genesis 28:12;Old Testament;symbolic;kids coloring;simple outlines
20,Joseph’s Colorful Coat (Outline Only),joseph-s-colorful-coat-outline-only,Creation & Genesis,OT,Genesis 37:3,Joseph stands wearing his special long coat with many sections that children can color in.,Joseph;coat;robe;family;Genesis;Genesis 37:3;Old Testament;Bible character;kids coloring;simple design;outline
21,Baby Moses in a Basket,baby-moses-in-a-basket,Moses & Exodus,OT,Exodus 2:3,Baby Moses rests safely in a basket among the reeds by the river as God watches over him.,Moses;baby Moses;basket;Nile River;reeds;Exodus;Exodus 2:3;Old Testament;safety;protection;Bible story;kids coloring;simple outlines
22,Burning Bush (Simple Outline),burning-bush-simple-outline,Moses & Exodus,OT,Exodus 3:2,A bush glows with a gentle flame as God speaks to Moses in a miraculous way.,burning bush;Moses;holy ground;flame;miracle;Exodus;Exodus 3:2;Old Testament;Bible story;kids coloring;simple scene;outline
23,Moses Standing with the Staff,moses-standing-with-the-staff,Moses & Exodus,OT,Exodus 4:17,"Moses holds the staff God gave him, ready to lead His people with courage.",Moses;staff;leadership;obedience;Exodus;Exodus 4:17;Old Testament;Bible character;kids coloring;simple outlines
24,Moses Parting the Red Sea,moses-parting-the-red-sea,Moses & Exodus,OT,Exodus 14:21,Moses raises his staff as the waters of the Red Sea part to make a dry path.,Moses;Red Sea;miracle;waters parted;Israelites;escape;Exodus;Exodus 14:21;Old Testament;kids coloring;power of God;outline
25,Israelites Walking Between Parted Waters,israelites-walking-between-parted-waters,Moses & Exodus,OT,Exodus 14:22,Families walk safely on dry ground with tall walls of water on both sides.,Israelites;Red Sea;parted waters;escape;journey;Exodus;Exodus 14:22;Old Testament;kids coloring;simple scene
26,Ten Commandments Tablets,ten-commandments-tablets,Moses & Exodus,OT,Exodus 20:1-17,Two stone tablets show the Ten Commandments God gave to His people.,Ten Commandments;tablets;Moses;law;Mount Sinai;Exodus;Exodus 20:1-17;Old Testament;symbol;Bible basics;kids coloring;outline
27,Moses Striking the Rock for Water,moses-striking-the-rock-for-water,Moses & Exodus,OT,Exodus 17:6,Moses taps a rock with his staff and fresh water flows out for the thirsty people.,Moses;water from rock;miracle;staff;Israelites;desert;Exodus;Exodus 17:6;Old Testament;kids coloring;simple outlines
28,Manna Falling from Heaven,manna-falling-from-heaven,Moses & Exodus,OT,Exodus 16:4,Small flakes of manna fall from the sky as families gather food from the ground.,manna;heavenly bread;Israelites;desert;Exodus;Exodus 16:4;Old Testament;God provides;kids coloring;simple outlines
29,Bronze Serpent on a Pole,bronze-serpent-on-a-pole,Moses & Exodus,OT,Numbers 21:8-9,"A bronze serpent is lifted up on a tall pole, reminding people to look up in faith.",bronze serpent;Moses;healing symbol;wilderness;serpent;Numbers;Numbers 21:8-9;Old Testament;Bible symbol;kids coloring;outline
30,Passover Lamb (Simple Outline),passover-lamb-simple-outline,Moses & Exodus,OT,Exodus 12:3-14,"A gentle lamb represents the first Passover, a special moment in Israel’s story.",Passover;lamb;Israelites;symbolic;sacrifice;Exodus;Exodus 12:3-14;Old Testament;kids coloring;simple outline;Bible story
31,Pharaoh’s Daughter Finding Baby Moses,pharaoh-s-daughter-finding-baby-moses,Moses & Exodus,OT,Exodus 2:5,Pharaoh’s daughter discovers baby Moses in a basket along the riverbank.,Pharaoh's daughter;baby Moses;basket;river;Nile;Exodus;Exodus 2:5;Old Testament;rescue;kids coloring;friendly scene
32,Pillar of Cloud and Fire,pillar-of-cloud-and-fire,Moses & Exodus,OT,Exodus 13:21-22,A tall cloud leads during the day and a glowing pillar of fire guides at night.,pillar of cloud;pillar of fire;Israelites;guidance;desert;Exodus;Exodus 13:21-22;Old Testament;kids coloring;simple scene
33,Moses on Mount Sinai,moses-on-mount-sinai,Moses & Exodus,OT,Exodus 19:20,"Moses stands on Mount Sinai, ready to receive God’s instructions for His people.",Moses;Mount Sinai;clouds;commandments;Exodus;Exodus 19:20;Old Testament;Bible story;kids coloring;outline
34,Moses with Aaron and Hur Lifting His Hands,moses-with-aaron-and-hur-lifting-his-hands,Moses & Exodus,OT,Exodus 17:12,Aaron and Hur help Moses hold up his hands during an important battle.,Moses;Aaron;Hur;support;teamwork;battle scene;Exodus;Exodus 17:12;Old Testament;Bible story;kids coloring;simple outlines
35,Miriam Playing a Tambourine,miriam-playing-a-tambourine,Moses & Exodus,OT,Exodus 15:20-21,Miriam joyfully plays a tambourine while dancing in celebration after crossing the sea.,Miriam;tambourine;dance;celebration;Israelites;Exodus;Exodus 15:20-21;Old Testament;kids coloring;joy;simple outline
36,Israelites Camping in the Desert,israelites-camping-in-the-desert,Moses & Exodus,OT,Exodus 14:19,Families rest in tents under the sky during their journey through the wilderness.,Israelites;camp;tents;desert;journey;Exodus;Exodus 14:19;Old Testament;kids coloring;simple scene;Bible story
37,Moses Holding the Ten Commandments,moses-holding-the-ten-commandments,Moses & Exodus,OT,Exodus 32:15,Moses holds the stone tablets with the Ten Commandments written on them.,Moses;Ten Commandments;tablets;law;Mount Sinai;Exodus;Exodus 32:15;Old Testament;kids coloring;outline
38,Burning Bush Close-Up,burning-bush-close-up,Moses & Exodus,OT,Exodus 3:2-4,"A kid-friendly, close-up view of the bush glowing with God’s presence.",burning bush;Moses;flame;holy ground;miracle;Exodus;Exodus 3:2-4;Old Testament;kids coloring;outline
39,Moses Leading Sheep as a Shepherd,moses-leading-sheep-as-a-shepherd,Moses & Exodus,OT,Exodus 3:1,"Before visiting the burning bush, Moses cares for sheep in the quiet countryside.",Moses;shepherd;sheep;pasture;staff;Exodus;Exodus 3:1;Old Testament;kids coloring;friendly animals;outline
40,Israelites Collecting Manna,israelites-collecting-manna,Moses & Exodus,OT,Exodus 16:14-18,"Men, women, and children gather small flakes of manna from the ground each morning.",manna;Israelites;desert;food;provision;Exodus;Exodus 16:14-18;Old Testament;kids coloring;simple outline
41,Joshua and the Walls of Jericho,joshua-and-the-walls-of-jericho,Joshua to Samuel,OT,Joshua 6:1-20,Joshua leads the Israelites around the walls of Jericho as God prepares to give them victory.,Joshua;Jericho;walls;Israelites;trumpets;marching;victory;Joshua 6:1-20;Old Testament;kids coloring;simple outlines;Bible story
42,Priests Blowing Trumpets Around Jericho,priests-blowing-trumpets-around-jericho,Joshua to Samuel,OT,Joshua 6:6-8,Priests blow ram’s horns while walking around Jericho as God commanded.,priests;trumpets;Jericho;Joshua;ram's horn;marching;Joshua 6:6-8;Old Testament;kids coloring;Bible story;outline
43,Rahab Helping the Spies,rahab-helping-the-spies,Joshua to Samuel,OT,Joshua 2:1-21,Rahab kindly hides two Israelite spies and helps them escape safely.,Rahab;spies;rope;window;Jericho;Joshua;Joshua 2:1-21;Old Testament;rescue;courage;kids coloring;simple scene
44,Gideon with a Trumpet and Jar,gideon-with-a-trumpet-and-jar,Joshua to Samuel,OT,Judges 7:16-18,Gideon holds a trumpet and a clay jar just before surprising the enemy.,Gideon;trumpet;jar;torch;Judges;Judges 7:16-18;Old Testament;courage;kids coloring;outline;Bible hero
45,Samson Pushing the Pillars (Kid-Safe),samson-pushing-the-pillars-kid-safe,Joshua to Samuel,OT,Judges 16:28-30,"Samson stands between two pillars with great strength in a simplified, gentle illustration.",Samson;pillars;strength;Judges;Judges 16:28-30;Old Testament;Bible hero;kids coloring;kid-safe;outline
46,Samson Fighting a Lion,samson-fighting-a-lion,Joshua to Samuel,OT,Judges 14:5-6,A kid-friendly version of Samson bravely facing a lion with God-given strength.,Samson;lion;strength;bravery;Judges;Judges 14:5-6;Old Testament;kids coloring;friendly lion;outline
47,Ruth Gathering Grain,ruth-gathering-grain,Joshua to Samuel,OT,Ruth 2:2-3,Ruth gently gathers grain in a field while trusting God to care for her.,Ruth;grain field;Boaz;gleaning;harvest;Ruth;Ruth 2:2-3;Old Testament;kids coloring;simple outlines;Bible character
48,Ruth and Naomi Walking Together,ruth-and-naomi-walking-together,Joshua to Samuel,OT,Ruth 1:16-17,"Ruth walks beside Naomi, promising to stay with her no matter what.",Ruth;Naomi;friendship;loyalty;journey;Ruth 1:16-17;Old Testament;Bible women;kids coloring;simple scene
49,Young Samuel Serving in the Tabernacle,young-samuel-serving-in-the-tabernacle,Joshua to Samuel,OT,1 Samuel 2:18,Young Samuel wears a little linen robe as he helps in the tabernacle.,Samuel;tabernacle;robe;service;Eli;1 Samuel;1 Samuel 2:18;Old Testament;kids coloring;simple scene;Bible story
50,Samuel Hearing God’s Voice,samuel-hearing-god-s-voice,Joshua to Samuel,OT,1 Samuel 3:1-10,Samuel listens carefully when God calls his name during the night.,Samuel;God calls;voice;tabernacle;Eli;1 Samuel;1 Samuel 3:1-10;Old Testament;kids coloring;bedroom scene;simple outlines
51,David as a Young Shepherd,david-as-a-young-shepherd,Joshua to Samuel,OT,1 Samuel 16:11,Young David watches over his sheep with a gentle shepherd’s heart.,David;shepherd;sheep;pasture;1 Samuel;1 Samuel 16:11;Old Testament;kids coloring;friendly animals;simple outlines
52,David Playing the Harp,david-playing-the-harp,Joshua to Samuel,OT,1 Samuel 16:23,"David plays soft music on his harp, bringing peace to those around him.",David;harp;music;strings;1 Samuel;1 Samuel 16:23;Old Testament;kids coloring;simple outlines;Bible character
53,David with His Sling (Before the Battle),david-with-his-sling-before-the-battle,Joshua to Samuel,OT,1 Samuel 17:40,David holds his sling and chooses five smooth stones while trusting God.,David;sling;stones;faith;Goliath;1 Samuel;1 Samuel 17:40;Old Testament;kids coloring;simple scene
54,David Comforting Sheep,david-comforting-sheep,Joshua to Samuel,OT,Psalm 23:1,"David pets a calm sheep, showing the gentle care of a shepherd.",David;shepherd;sheep;comfort;Psalm 23;Psalm 23:1;Old Testament;kids coloring;friendly animals;simple outlines
55,David Picking Stones from a Stream,david-picking-stones-from-a-stream,Joshua to Samuel,OT,1 Samuel 17:40,David bends down to gather smooth stones from a quiet stream.,David;stream;stones;sling;Goliath;1 Samuel;1 Samuel 17:40;Old Testament;kids coloring;simple outlines
56,Jonathan and David Friendship,jonathan-and-david-friendship,Joshua to Samuel,OT,1 Samuel 18:1-4,"David and Jonathan stand together, showing their strong and loyal friendship.",David;Jonathan;friendship;loyalty;1 Samuel;1 Samuel 18:1-4;Old Testament;kids coloring;Bible characters;simple outlines
57,Hannah Praying at the Temple,hannah-praying-at-the-temple,Joshua to Samuel,OT,1 Samuel 1:9-18,Hannah kneels and prays with a trusting heart inside the temple.,Hannah;prayer;temple;faith;Eli;1 Samuel;1 Samuel 1:9-18;Old Testament;kids coloring;simple outlines
58,Eli and Young Samuel,eli-and-young-samuel,Joshua to Samuel,OT,1 Samuel 3:8-9,"Eli gently talks to Samuel, helping him understand how to listen to God.",Eli;Samuel;tabernacle;listening;mentorship;1 Samuel;1 Samuel 3:8-9;Old Testament;kids coloring;simple scene
59,Ark of the Covenant (Simplified Outline),ark-of-the-covenant-simplified-outline,Joshua to Samuel,OT,Exodus 25:10-22,"A simple, gentle outline of the Ark of the Covenant with its cherubim on top.",Ark of the Covenant;cherubim;symbol;holy;tabernacle;Exodus;Exodus 25:10-22;Old Testament;kids coloring;simple design
60,Samuel Anointing David,samuel-anointing-david,Joshua to Samuel,OT,1 Samuel 16:13,Samuel gently pours oil on young David’s head as God chooses him to be king.,Samuel;David;anointing;oil;shepherd boy;1 Samuel;1 Samuel 16:13;Old Testament;kids coloring;Bible story;simple outlines
61,Solomon Praying for Wisdom,solomon-praying-for-wisdom,"Kings, Prophets & Psalms",OT,1 Kings 3:9,Young King Solomon bows humbly and asks God to give him a wise and understanding heart.,Solomon;wisdom;prayer;king;1 Kings;1 Kings 3:9;Old Testament;Bible story;kids coloring;simple outlines
62,Solomon with a Scroll,solomon-with-a-scroll,"Kings, Prophets & Psalms",OT,Proverbs 1:1,Solomon holds a scroll representing the wise teachings and proverbs he wrote.,Solomon;Proverbs;scroll;wisdom;king;Proverbs 1:1;Old Testament;Bible character;kids coloring;simple scene
63,Elijah Being Fed by Ravens,elijah-being-fed-by-ravens,"Kings, Prophets & Psalms",OT,1 Kings 17:4-6,Ravens bring bread to Elijah as he rests by a quiet stream during a time of need.,Elijah;ravens;bread;stream;provision;1 Kings;1 Kings 17:4-6;Old Testament;kids coloring;simple outlines
64,Elijah’s Chariot (Simple Outline),elijah-s-chariot-simple-outline,"Kings, Prophets & Psalms",OT,2 Kings 2:11,A gentle representation of Elijah’s fiery chariot rising into the sky.,Elijah;chariot;horses;heaven;2 Kings;2 Kings 2:11;Old Testament;symbolic;kids coloring;outline
65,Elisha Helping a Widow with Oil,elisha-helping-a-widow-with-oil,"Kings, Prophets & Psalms",OT,2 Kings 4:1-7,Elisha stands beside a widow as she fills many jars with the oil God miraculously provided.,Elisha;widow;oil;miracle;jars;2 Kings;2 Kings 4:1-7;Old Testament;kids coloring;simple outlines
66,Shunammite Woman and Her Son,shunammite-woman-and-her-son,"Kings, Prophets & Psalms",OT,2 Kings 4:8-17,"The kind Shunammite woman stands with her young son, whom God blessed her with through Elisha’s promise.",Shunammite woman;Elisha;child;promise;family;2 Kings;2 Kings 4:8-17;Old Testament;kids coloring;simple scene
67,Jonah and the Fish (Kid-Friendly),jonah-and-the-fish-kid-friendly,"Kings, Prophets & Psalms",OT,Jonah 1:17,"Jonah stands near a large, friendly-looking fish that God used to rescue him.",Jonah;fish;whale;sea;Jonah 1:17;Old Testament;kids coloring;friendly animals;simple outlines
68,Jonah Praying Inside the Fish,jonah-praying-inside-the-fish,"Kings, Prophets & Psalms",OT,Jonah 2:1,"Jonah kneels in prayer inside the belly of the great fish in a gentle, symbolic style.",Jonah;fish;prayer;sea;Jonah 2:1;Old Testament;kids coloring;simple outlines;Bible story
69,Whale Spouting Water with Jonah Nearby,whale-spouting-water-with-jonah-nearby,"Kings, Prophets & Psalms",OT,Jonah 2–3,A playful whale sprays water as Jonah stands safely on the shore after obeying God.,Jonah;whale;fish;beach;obedience;Jonah 3:1-3;Old Testament;kids coloring;friendly whale;simple outlines
70,Daniel Praying by the Window,daniel-praying-by-the-window,"Kings, Prophets & Psalms",OT,Daniel 6:10,"Daniel kneels in prayer beside an open window, trusting God no matter what.",Daniel;prayer;window;faith;Daniel 6:10;Old Testament;kids coloring;Bible character;simple outlines
71,Daniel in the Lions’ Den (Friendly Lions),daniel-in-the-lions-den-friendly-lions,"Kings, Prophets & Psalms",OT,Daniel 6:22,"Daniel stands safely among gentle, friendly lions as God protects him.",Daniel;lions;protection;miracle;Daniel 6:22;Old Testament;kids coloring;friendly animals;simple outlines
72,Three Friends in the Fiery Furnace (Kid-Safe),three-friends-in-the-fiery-furnace-kid-safe,"Kings, Prophets & Psalms",OT,Daniel 3:24-25,"Shadrach, Meshach, and Abednego stand safely in a gentle, symbolic flame with God’s angel beside them.",Shadrach;Meshach;Abednego;furnace;angel;Daniel 3:24-25;Old Testament;kids coloring;symbolic;simple outlines
73,Esther Approaching the King,esther-approaching-the-king,"Kings, Prophets & Psalms",OT,Esther 5:1-2,Queen Esther bravely walks toward the king to speak up for her people.,Esther;king;courage;throne room;Esther 5:1-2;Old Testament;kids coloring;Bible heroine;simple outlines
74,Esther and Mordecai,esther-and-mordecai,"Kings, Prophets & Psalms",OT,Esther 2:7,"Esther and Mordecai stand together, showing their close and caring relationship.",Esther;Mordecai;family;care;Esther 2:7;Old Testament;kids coloring;Bible characters;simple outlines
75,Nehemiah Rebuilding the Wall,nehemiah-rebuilding-the-wall,"Kings, Prophets & Psalms",OT,Nehemiah 2:18,Nehemiah works with stones and tools to rebuild Jerusalem’s broken wall.,Nehemiah;wall;stones;Jerusalem;tools;building;Nehemiah 2:18;Old Testament;kids coloring;simple outlines
76,Ezra Reading the Law,ezra-reading-the-law,"Kings, Prophets & Psalms",OT,Nehemiah 8:1-3,Ezra stands before the people and reads God’s law with great respect.,Ezra;scroll;reading;crowd;law;Nehemiah 8:1-3;Old Testament;kids coloring;Bible teacher;simple outlines
77,Psalm 23 Shepherd Scene,psalm-23-shepherd-scene,"Kings, Prophets & Psalms",OT,Psalm 23:1-3,"A peaceful shepherd leads sheep beside quiet waters, inspired by Psalm 23.",Psalm 23;shepherd;sheep;quiet waters;pasture;Psalm 23:1-3;Old Testament;kids coloring;friendly animals;simple outlines
78,Cup Running Over (Psalm 23),cup-running-over-psalm-23,"Kings, Prophets & Psalms",OT,Psalm 23:5,A cup overflows gently to symbolize God’s abundant blessings.,Psalm 23;cup;overflow;blessing;symbol;Psalm 23:5;Old Testament;kids coloring;simple outlines
79,"""The Lord is My Shepherd"" Scene",the-lord-is-my-shepherd-scene,"Kings, Prophets & Psalms",OT,Psalm 23:1,A shepherd stands lovingly with his sheep to illustrate Psalm 23's message.,Psalm 23;shepherd;sheep;Psalm 23:1;Old Testament;kids coloring;friendly animals;simple scene
80,Deer by Peaceful Water (Psalm Theme),deer-by-peaceful-water-psalm-theme,"Kings, Prophets & Psalms",OT,Psalm 42:1,A gentle deer drinks from calm waters in a peaceful forest setting.,deer;water;Psalm 42:1;thirsts for God;Old Testament;kids coloring;nature;simple outlines
81,Tower of Babel (Cute Blocks Style),tower-of-babel-cute-blocks-style,Prophets & Visions,OT,Genesis 11:4,"People build a tall tower with block-like stones in a fun, kid-friendly design.",Tower of Babel;blocks;builders;Genesis;Genesis 11:4;Old Testament;kids coloring;simple outlines;Bible story
82,Ezekiel’s Valley of Dry Bones (Kid-Safe),ezekiel-s-valley-of-dry-bones-kid-safe,Prophets & Visions,OT,Ezekiel 37:1-10,A gentle symbolic scene of scattered bones arranged safely to illustrate Ezekiel’s vision.,Ezekiel;valley of dry bones;vision;symbolic;Ezekiel 37:1-10;Old Testament;kids coloring;simple outlines
83,Isaiah’s Coal Vision (Angel with Tongs),isaiah-s-coal-vision-angel-with-tongs,Prophets & Visions,OT,Isaiah 6:6-7,"An angel holds a coal with tongs in a gentle, symbolic depiction of Isaiah’s cleansing vision.",Isaiah;angel;coal;tongs;vision;Isaiah 6:6-7;Old Testament;kids coloring;simple outlines
84,Jeremiah with a Scroll,jeremiah-with-a-scroll,Prophets & Visions,OT,Jeremiah 36:2,Jeremiah holds a scroll containing the messages God gave him for the people.,Jeremiah;scroll;prophet;message;Jeremiah 36:2;Old Testament;kids coloring;simple outlines
85,Zechariah’s Lampstand (Simple Symbols),zechariah-s-lampstand-simple-symbols,Prophets & Visions,OT,Zechariah 4:2,A simplified lampstand with bowls and seven lamps represents Zechariah’s vision.,Zechariah;lampstand;vision;symbol;light;Zechariah 4:2;Old Testament;kids coloring;simple outlines
86,Habakkuk Rejoicing on a Hill,habakkuk-rejoicing-on-a-hill,Prophets & Visions,OT,Habakkuk 3:18,Habakkuk lifts his hands with joy on a hill as he trusts God.,Habakkuk;joy;hill;trust;prophet;Habakkuk 3:18;Old Testament;kids coloring;simple outlines
87,Amos with a Plumb Line,amos-with-a-plumb-line,Prophets & Visions,OT,Amos 7:7-8,Amos stands with a plumb line in a simple scene based on his vision from God.,Amos;plumb line;vision;symbol;Amos 7:7-8;Old Testament;kids coloring;simple outlines
88,Micah’s “Act Justly” Symbol Scene,micah-s-act-justly-symbol-scene,Prophets & Visions,OT,Micah 6:8,"Symbols of kindness, justice, and humility illustrate Micah’s well-known verse.",Micah;Micah 6:8;justice;kindness;humility;Old Testament;kids coloring;symbolic;simple outlines
89,Hosea with a Heart (Symbolic),hosea-with-a-heart-symbolic,Prophets & Visions,OT,Hosea 3:1,Hosea stands beside a heart symbol to show God’s faithful love.,Hosea;heart;love;symbol;Hosea 3:1;Old Testament;kids coloring;simple outlines
90,Prophet Holding a Scroll on a Hill,prophet-holding-a-scroll-on-a-hill,Prophets & Visions,OT,General OT prophetic theme,A gentle silhouette of a prophet standing on a hill holding a scroll.,prophet;scroll;hill;message;Old Testament;kids coloring;simple scene;outline
91,Angel Gabriel Greeting Mary,angel-gabriel-greeting-mary,Nativity & Childhood of Jesus,NT,Luke 1:26-28,The angel Gabriel greets Mary with joyful news that God has a special plan for her.,Gabriel;Mary;angel;announcement;Nazareth;Luke;Luke 1:26-28;New Testament;kids coloring;simple outlines
92,Mary and Joseph Traveling to Bethlehem,mary-and-joseph-traveling-to-bethlehem,Nativity & Childhood of Jesus,NT,Luke 2:4-5,Mary and Joseph walk along the road to Bethlehem as they follow the Roman census orders.,Mary;Joseph;Bethlehem;journey;donkey;Luke;Luke 2:4-5;New Testament;kids coloring;simple scene
93,Nativity Scene (Stable and Animals),nativity-scene-stable-and-animals,Nativity & Childhood of Jesus,NT,Luke 2:7,"Baby Jesus rests in a manger surrounded by Mary, Joseph, and gentle stable animals.",Nativity;Mary;Joseph;baby Jesus;manger;stable;animals;Luke;Luke 2:7;New Testament;kids coloring;friendly animals
94,Baby Jesus in a Manger,baby-jesus-in-a-manger,Nativity & Childhood of Jesus,NT,Luke 2:7,Baby Jesus lies peacefully in a manger filled with soft hay.,baby Jesus;manger;hay;Nativity;Luke 2:7;Luke;New Testament;kids coloring;simple outlines
95,Shepherds Visiting Jesus,shepherds-visiting-jesus,Nativity & Childhood of Jesus,NT,Luke 2:15-16,Shepherds come to the stable to see baby Jesus and worship Him.,shepherds;baby Jesus;Nativity;Bethlehem;Luke;Luke 2:15-16;New Testament;kids coloring;friendly animals
96,Angel Announcing Good News to Shepherds,angel-announcing-good-news-to-shepherds,Nativity & Childhood of Jesus,NT,Luke 2:10-11,An angel appears to the shepherds with joyful news about the Savior’s birth.,angel;shepherds;good news;Bethlehem;Nativity;Luke;Luke 2:10-11;New Testament;kids coloring;simple outlines
97,Three Wise Men Following the Star,three-wise-men-following-the-star,Nativity & Childhood of Jesus,NT,Matthew 2:1-2,The wise men travel on camels as they follow the bright star that leads to Jesus.,wise men;star;camels;journey;gifts;Matthew;Matthew 2:1-2;New Testament;kids coloring;simple outlines
98,Star of Bethlehem Over a Stable,star-of-bethlehem-over-a-stable,Nativity & Childhood of Jesus,NT,Matthew 2:9-10,The Star of Bethlehem shines brightly in the night sky above the quiet stable.,Star of Bethlehem;star;stable;Nativity;Matthew;Matthew 2:9-10;New Testament;kids coloring;simple outlines
99,Simeon Holding Baby Jesus,simeon-holding-baby-jesus,Nativity & Childhood of Jesus,NT,Luke 2:27-32,"Simeon joyfully holds baby Jesus in the temple, thanking God for the promised Savior.",Simeon;baby Jesus;temple;Mary;Joseph;Luke;Luke 2:27-32;New Testament;kids coloring;simple outlines
